Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,predicted_sentiment
0,0,enjoying beautiful day park, Positive  ,2023-01-15, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,positive
1,1,traffic terrible morning, Negative  ,2023-01-15, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,positive
2,2,finished amazing workout, Positive  ,2023-01-15, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,positive
3,3,excited upcoming weekend getaway, Positive  ,2023-01-15, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,positive
4,4,trying new recipe dinner tonight, Neutral   ,2023-01-15, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,positive
5,5,feeling grateful little thing life, Positive  ,2023-01-16, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,positive
6,6,rainy day call cozy blanket hot cocoa, Positive  ,2023-01-16, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,positive
7,7,new movie release mustwatch, Positive  ,2023-01-16, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,positive
8,8,political discussion heating timeline, Negative  ,2023-01-17, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,positive
9,9,missing summer vibe beach day, Neutral   ,2023-01-17, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,positive
10,10,published new blog post check, Positive  ,2023-01-17, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,positive
11,11,feeling bit weather today, Negative  ,2023-01-18, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,positive
12,12,exploring city hidden gem, Positive  ,2023-01-18, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,positive
13,13,new year new fitness goal, Positive  ,2023-01-18, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,positive
14,14,technology changing way live, Neutral   ,2023-01-19, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,positive
15,15,reflecting past looking ahead, Positive  ,2023-01-19, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,positive
16,16,adopted cute furry friend, Positive  ,2023-01-19, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,positive
